cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population,label_variant
HPSI0115i-hecn_6,pool3,3.366889940630263,1.9364325132143856,-2.0925166947650764,1.0626971813564006,3.3174660044076525,-2.2462927641156263,1.4613923208942703,0.8395394764374576,1.112933022499619,2.1921307703423585,0.3502415458937198,0.11352657004830918,0.21980676328502416,0.05314009661835749,0.2584541062801932,0.004830917874396135,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-iiyk_2,pool5,-1.9405844812466853,-1.8867245489045892,-1.136190117911584,-2.1208183673918684,-0.1045249038321112,1.331802637679126,-2.2106883550938874,0.7517689914729202,-1.7220733600267808,-3.150660321910044,0.3915343915343915,0.1164021164021164,0.13227513227513227,0.031746031746031744,0.2857142857142857,0.042328042328042326,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-iuad_2,pool7,-1.8571746606286994,-6.1345680322464595,-5.576751327345208,2.376926849530601,0.9944042120682025,1.2082146482787588,-0.7567996153330939,0.10326402266215463,0.6890115580250453,0.3723756824040928,0.20262919310970082,0.03218495013599275,0.05530371713508613,0.12194016319129647,0.5861287398005439,0.001813236627379873,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-jakt_1,pool2,1.668353997158079,-4.7535683676478895,-6.834451932276916,2.9591286459628887,2.03399861377025,-1.4183522621569422,1.3870726303007912,0.5336973831084507,1.523829823931964,2.618533642435055,0.2274216190921853,0.031820308844174076,0.0584932147870847,0.09499298081422555,0.5737014506317267,0.013102480112306972,0.0004679457182966776,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-paim_1,pool1,4.104230973623642,-2.7674958778917222,-2.929590687962398,0.17026563706230177,3.9082432265253373,3.0389624465726306,0.8146584523786794,1.1646101342594852,0.19594659637144696,0.3601557522517043,0.4229198570699336,0.02679938744257274,0.11204696273608984,0.037008677896886166,0.3925472179683512,0.007912200102092905,0.0007656967840735069,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-quze_6,pool9,-4.468349495391566,1.6542808917835008,0.20426807631938604,0.8366292561713338,-0.6802331212856298,-0.9301164531849939,-0.6351068672826287,0.451577887719497,-0.029954522323545382,1.4752329063535734,0.12919463087248323,0.21644295302013422,0.28523489932885904,0.10738255033557047,0.21476510067114093,0.04530201342281879,0.0016778523489932886,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-sehp_2,pool7,11.028073553653066,1.2175324368482647,0.22926140599737202,0.4018553209491707,1.4485205714042937,-0.1576646010958068,-1.8138255599713196,0.8498941344711132,-0.37213575437878377,-0.8608501413738736,0.7265625,0.020182291666666668,0.11263020833333333,0.034505208333333336,0.09765625,0.008463541666666666,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0115i-tiku_3,pool9,-5.001555944621779,1.8412874196027322,0.4085116086588189,0.6698162344997303,-0.7366210594856437,-0.7731083905716924,-0.7340820844715968,1.0169260369007334,0.7550063976050203,1.3354339190391251,0.0947867298578199,0.2132701421800948,0.3033175355450237,0.11374407582938388,0.1990521327014218,0.07109004739336493,0.004739336492890996,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-uupc_2,pool7,2.891456271472215,0.48107319202698495,-0.7085471998372043,1.017388238820347,2.3756437574515,1.1004313058811832,-0.17905072090029217,0.6405767187339951,-0.6766035239176528,-0.7634663769191983,0.46774193548387094,0.10215053763440861,0.17204301075268819,0.08064516129032258,0.15053763440860216,0.026881720430107527,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-zihe_1,pool6,-10.71518400135948,7.115897026550914,-0.16572377172939778,-1.933330388653738,-0.3490508527638876,-0.8884317925696091,-0.6197929703306218,-2.272507169011858,-0.7938703418474471,-0.2386123213933257,0.005917159763313609,0.4319526627218935,0.40828402366863903,0.0650887573964497,0.047337278106508875,0.04142011834319527,0.0,plain,0,0,train,qualifying_only,da_untreated
