cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split,fit_population,label_variant
HPSI0514i-yewo_4,pool7,0.12452560984883483,6.803645271678143,3.0562728697179145,1.5961069374145622,-1.7067954173541018,-0.4660958312182783,-0.4194643141743479,0.13872203551097245,-0.36384376903583787,-0.4965090772501091,0.7261904761904762,0.005952380952380952,0.26785714285714285,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-aevs_1,pool11,1.7622370357056658,3.621608304640905,10.330718304866705,-0.882563199689395,5.614884191789991,-5.596890889028504,-14.298791243094406,-3.8869683532967843,29.539280864854412,-6.654870325453237,0.2767940354147251,0.1724137931034483,0.5507921714818267,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-bawa_1,pool11,6.294968247462029,10.48590919069035,7.640973840822218,0.5008679964596193,6.149359878877278,-4.01739286971747,-11.513252568154176,-3.8779562646198027,31.165974474799985,-10.344761886403328,0.253028263795424,0.0013458950201884253,0.7456258411843876,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-bohf_1,pool11,3.9902911276870467,7.962409049903619,6.9867862938007965,1.3548639838920649,5.395018123664334,-3.8714340255663577,-12.868378125522243,-2.89464497073596,30.09528404757953,-7.939414500700104,0.37245392822502427,0.002909796314258002,0.6246362754607178,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-eojr_2,pool11,3.9556699221120275,9.662410955013842,7.584712148040501,0.11124842911313908,6.07947007234091,-4.610798780878511,-13.835711040914195,-3.534120116686944,30.74224188260798,-8.609798433791338,0.368,0.0,0.632,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-hegp_3,pool11,4.125989853474578,8.496291083668046,6.498671728367875,0.43297680963077734,5.605831576567794,-4.269209883020466,-11.236261973226563,-4.841200676213827,30.537828949987194,-8.934296818859597,0.3261802575107296,0.008583690987124463,0.6652360515021459,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-hikj_2,pool11,4.471678157461904,8.203703522429192,6.878289136747144,1.08667012893552,4.965705701105422,-4.634636530907724,-12.617540887547511,-3.540677249309015,28.87548006627475,-7.922355155813202,0.34,0.013333333333333334,0.6466666666666666,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0613i-lizq_3,pool11,3.5587697109804375,9.061108979233394,6.418934414897251,-0.18203049627334442,4.676440932956166,-3.396956192876927,-10.567862371677212,-4.194626927318039,30.441407219065667,-9.270353045085221,0.3287435456110155,0.0034423407917383822,0.6678141135972461,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-juzt_4,pool7,-2.4204362166324,1.7958165084983497,2.8443081114351685,-0.8770787143905362,-0.996236041881498,-1.8342792599734146,-1.093439830563555,0.4764454875122441,-0.09088274476336664,1.0188678496507975,0.5927835051546392,0.09278350515463918,0.31443298969072164,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-liqa_1,pool1,-0.6196303295142355,7.764885850835323,3.032559550967284,-0.4809342882154595,0.726831484941994,-0.6988907393647337,1.078984429130644,1.161130934847829,1.8785999119153813,-0.12294012396347476,0.6385579937304076,0.0025078369905956114,0.35893416927899685,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-lirf_5,pool5,-2.0798243740584765,-2.115400381105558,2.4317354718720767,-1.2818738697779675,-0.7558796429185878,-1.371997458017013,-2.5726294473405993,0.33233595719846687,0.24683561786622865,1.298716275693185,0.5536892621475705,0.1235752849430114,0.32273545290941813,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-miaj_4,pool8,-2.3499736625053305,-5.281413624324153,-1.5131893757543868,0.1318974843993852,-1.420683046982783,0.9036957693467706,-0.9518120111243024,2.0245854435047703,0.16934922520726012,0.37020157133915665,0.5561959654178674,0.0845341018251681,0.35926993275696445,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-oicx_2,pool5,0.7249959173384389,3.111952035327543,0.0605077822481268,-1.1848265703753758,0.23545531619752047,-0.6142573514165014,0.08909227321052668,-0.5540732953069465,0.4314609288193755,0.6473627791309001,0.53125,0.0,0.46875,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-puhk_2,pool9,-0.8165417139778095,-3.7077751431838446,1.189409985544459,-1.2235644717759195,1.615898950846214,0.9378130628176617,-0.4602484781450987,-0.2606123310256315,0.109951678227531,0.6470327565879669,0.48785166240409206,0.1460997442455243,0.36604859335038364,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-qunz_2,pool8,1.7824516224866664,0.08443014882012995,-2.3895145322456033,0.5290384129991631,1.7127430326645992,2.6462419313525016,2.091951992642564,-0.5789250277242259,0.24240170305135741,0.3006363718001207,0.5113636363636364,0.002840909090909091,0.48579545454545453,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-uevq_6,pool2,-2.054536880032417,0.6656890632794329,4.421280507678813,-0.012256060803224323,0.7979727897374181,-2.4179709659640873,-0.9108584198097789,-0.012730404844439542,-2.102058582824674,0.3811788979469568,0.5681274900398406,0.14422310756972112,0.28764940239043824,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-voce_1,pool6,-1.0174933818920264,-1.9573197881257909,-0.8928470624671817,0.16941144971741842,-1.6764255932972303,-1.1497245403307061,-0.648068872834571,-0.705232263550096,0.04703176741500752,0.0012232437756866555,0.5650205761316872,0.03827160493827161,0.39670781893004115,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0614i-wihj_4,pool7,0.3685988452184451,5.4586024130598725,2.248237370579984,-0.42486086350054936,-0.2454943855798983,-0.7952894277489454,0.10130882449845477,-0.3002243954811231,0.5121171743830296,0.35091412138911937,0.6376021798365122,0.008174386920980926,0.3542234332425068,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0714i-burb_1,pool4,-0.5824217022765574,-0.6143462721628044,0.41013769056069616,0.04516931382841998,-0.08454628652178255,1.5661829929484017,-1.0691287217933299,1.305579459793498,1.2383150713626259,0.9231278922242901,0.6045673076923077,0.056490384615384616,0.3389423076923077,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0714i-burb_1,pool5,-0.7521690113018596,-0.29721850927949406,0.7561417018703145,-1.0880426303545385,-1.2536117225953716,-0.9169800868782619,-1.5031884409249878,0.36609465893325893,0.45905888199427286,0.9463103087019551,0.537910447761194,0.042388059701492536,0.4197014925373134,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0714i-iudw_1,pool1,0.22383566507451255,5.9325327492551825,2.4045432754594107,-1.5484839281859777,0.7096907979658345,-1.0499098868365075,0.5353693445557276,0.2294201842305495,1.657507492805517,0.19013636940483605,0.5746212121212121,0.00946969696969697,0.4159090909090909,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0714i-keui_4,pool7,-3.0640120536722226,-2.109918589579841,4.38431586957532,-1.9413159936703734,-0.6816657174501488,-1.7230790236779432,-0.8574618157085943,-0.3657880360613463,0.5433837389891101,0.8770671196523738,0.5054945054945055,0.19505494505494506,0.29945054945054944,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0714i-kute_5,pool5,2.3970546522043024,1.1042562817915618,0.1043460173028971,0.08589529217889175,0.25278256140753264,-0.9154977229654324,0.43448280241974274,-0.03889229947557476,0.11072476996973393,0.4221939963865425,0.4166666666666667,0.03333333333333333,0.55,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0714i-oatm_1,pool6,-0.0920095675046954,-3.0600145731019,0.08064518594147174,0.05136688161748026,-0.46764324433547777,-1.2318884915288875,-0.7987626237587783,-0.2096030243750979,-0.27321224518649445,0.4321293015593579,0.48307692307692307,0.08384615384615385,0.4330769230769231,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0714i-pipw_4,pool3,0.5744430549282789,2.2000175903436507,0.3192732328814727,2.704441052021966,-0.0067751305924198075,-1.5235962696312773,-0.015834601117750164,-1.1226218754310575,-1.4463824141489037,-0.08690528591544396,0.5686700458604875,0.002172338884866039,0.4291576152546464,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0715i-aowh_2,pool8,1.0265889210076975,-0.6923290525273771,-2.6617723877805637,-0.9567133834109683,0.5506101694936825,1.7693133669692729,1.514947839028369,-0.5757411969376166,0.13412451752332905,0.6340633109922958,0.5198412698412699,0.00992063492063492,0.47023809523809523,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0715i-meue_5,pool2,0.3543796894343512,5.272721747314526,3.635590701089011,1.699660288924857,0.6300360859346081,-2.7898588912925493,-1.2486826013798,0.6254770135697643,-3.157340589072495,-0.40159512309868156,0.6105769230769231,0.021634615384615384,0.36778846153846156,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0715i-meue_5,pool3,-0.3433028257945014,2.7273140471321105,0.46281708645353137,4.391578862347567,-0.9966990292947712,-1.6425245071608932,0.8977120350478074,-0.3181010759411652,-1.5064438251066363,-0.15410267461809266,0.6390658174097664,0.0021231422505307855,0.35881104033970274,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0715i-zaie_5,pool8,1.9553714208517374,1.0330085399547373,-1.6674725391973841,0.4831933678966714,0.7634402829214993,2.37782072582106,2.5887241627128303,-0.18177004943765923,-0.4145254485055033,-0.6940149340775846,0.47223955084217095,0.0012476606363069245,0.5265127885215222,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0814i-bokz_6,pool4,1.6495752147559444,2.6773657203113217,-0.21430015222875345,1.5293753491255448,0.8693853719639111,1.4429251788323287,0.48627049934596295,1.350732315784675,0.7286979394512134,0.3207575981703031,0.5255972696245734,0.0,0.47440273037542663,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0814i-siqu_4,pool7,-0.9698384401081771,5.602776102358813,1.6408541771492757,-0.9700516676889144,-0.4973294184517816,-0.2632002556598763,1.0418389223145825,-0.5560369596513417,0.7232746232364824,0.45385777723318316,0.6446991404011462,0.008595988538681949,0.3467048710601719,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0913i-eika_2,pool9,1.0182359771939247,0.34482742365695324,-1.958243345114621,0.0005432396699122453,1.9841416398824154,1.3009623484710624,0.390727638957048,-0.7490216865795105,-0.0839460297078852,1.4993769693953918,0.5659340659340659,0.0,0.4340659340659341,donor_grouped,2,3,test,qualifying_only,da_untreated
HPSI0914i-iezw_2,pool5,-0.18134477343480204,2.953405378353022,1.2861832626545218,-0.4298940867903071,-1.0532791067035332,1.980518245609823,2.7110565808068015,1.128126901118142,1.0027202687259327,-1.0940717710137797,0.6369168356997972,0.008113590263691683,0.35496957403651114,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0914i-jejf_2,pool5,0.5663508522564338,3.3841365776821473,0.6532175548270035,0.8805785100836487,-0.18198639460343485,1.3099429753685403,1.645069700429118,-0.07276297602807158,0.660246454818461,-1.7992989155227546,0.5791190864600326,0.004078303425774877,0.4168026101141925,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0914i-kajh_2,pool5,0.8552364521690373,2.9434580608195997,0.4200185466217005,0.7442457897353237,-1.219903061355531,0.9184873337751746,1.9176960565674843,-0.11910639361123843,0.9045095951218967,-1.9757787646750697,0.5296610169491526,0.00211864406779661,0.4682203389830508,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0914i-laey_6,pool5,0.395881724453038,3.507641280756254,0.43430354716187813,-0.34515118419770174,-1.0610602414255796,0.7332005783326919,2.154267925279107,-0.42700736000294276,0.6560860176510369,-0.4191265734218001,0.5759493670886076,0.0,0.4240506329113924,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0914i-laey_6,pool6,-0.2818330396587736,1.1515819686215347,-0.627063964693936,0.6740553499708339,-2.3124572379055066,-1.272622935965497,2.753095861184097,-1.8233663747608508,0.3257507665779362,-1.0408098395894547,0.5317667536988686,0.0026109660574412533,0.4656222802436902,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0914i-ouvb_2,pool8,1.7166743171443672,0.10314258063634775,-2.438733279758603,-0.7831929355957579,0.7535029459903478,2.3697423419700763,2.7847215559215996,-0.8089870564434897,0.08369147846680286,-0.5354494012199524,0.4823695345557123,0.0007052186177715092,0.5169252468265162,donor_grouped,2,3,train,qualifying_only,da_untreated
