cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population
HPSI0214i-datg_2,pool9,3.7067768995304657,-0.8436250677323252,0.8294014536402412,0.5020107249415864,1.3267871549996149,-0.48476016240214614,0.8328980074590004,0.6723469090119514,-0.39763442547173916,-0.04571572559144108,0.42776801405975395,0.033391915641476276,0.20949033391915642,0.0843585237258348,0.20527240773286468,0.03936731107205624,0.000351493848857645,lodo,0,8,train,qualifying_only
HPSI0214i-eiwy_1,pool1,5.54997136235963,-2.902355181089106,-2.9486917173164207,1.590869467169411,0.9082589726803314,-0.7203009260490194,0.12707590108463973,1.0531516952391087,-0.2568064772018853,0.5347932934715209,0.42738589211618255,0.016597510373443983,0.08713692946058091,0.07468879668049792,0.36929460580912865,0.02074688796680498,0.004149377593360996,lodo,0,8,train,qualifying_only
HPSI0214i-feec_2,pool4,4.6244813611839435,3.3714063857360594,3.309351782193567,-0.9488289510748953,-2.1048366463974704,0.30165139268640556,-1.4070407501193205,-2.6558996729061226,1.1905517877725742,0.6027055268634998,0.16524216524216523,0.15527065527065528,0.23931623931623933,0.0698005698005698,0.004273504273504274,0.349002849002849,0.017094017094017096,lodo,0,8,train,qualifying_only
HPSI0214i-feec_2,pool5,-2.614958377654459,-0.09014662663573514,3.0162954603125947,-2.6919865934904674,-1.5169922641543063,1.9306439654330463,1.17376255417599,-1.0682443584772385,-0.7553921331353797,3.2930869710464026,0.19270833333333334,0.125,0.3333333333333333,0.0625,0.046875,0.234375,0.005208333333333333,lodo,0,8,train,qualifying_only
HPSI0214i-giju_3,pool4,1.746809241771571,-4.655245659988475,-3.5469873770271474,1.3208920732796283,0.10804708051522792,-0.8319498138850586,0.1981015093784989,0.7124348249799999,-0.8253020440908007,2.1568699385638195,0.330835734870317,0.023054755043227664,0.10605187319884726,0.07319884726224783,0.45187319884726224,0.01440922190201729,0.0005763688760806917,lodo,0,8,train,qualifying_only
HPSI0214i-heth_1,pool6,-9.62394595425663,6.9429455813019025,2.0934561224407497,-1.0785000645592795,0.2081609677581659,-1.4093356840863895,-0.29943547281165384,-0.49348531497861275,-0.7291068760152061,0.611511701301597,0.015100671140939598,0.30201342281879195,0.4865771812080537,0.11241610738255034,0.02348993288590604,0.06040268456375839,0.0,lodo,0,8,train,qualifying_only
HPSI0214i-pelm_3,pool2,8.542108829598403,0.48524416750931154,-2.4757725241229687,1.0707371400353698,4.0209040474230004,-1.2366691717394627,-0.054440596416393525,0.5542635857911143,1.3404732598780336,-1.8489633533473948,0.549800796812749,0.034528552456839307,0.09216467463479415,0.0350597609561753,0.27304116865869854,0.014342629482071713,0.0010624169986719787,lodo,0,8,train,qualifying_only
HPSI0214i-pelm_3,pool3,5.223620492720588,-0.9872569360495702,-5.186628395880175,1.996272802546442,3.0209289567883455,-3.1946971563141466,-0.986928628741113,0.1888443840624442,1.1372791065243704,-1.7992495759907514,0.3878787878787879,0.041666666666666664,0.08409090909090909,0.05,0.42045454545454547,0.015909090909090907,0.0,lodo,0,8,train,qualifying_only
HPSI0214i-poih_2,pool5,1.91426617315215,-1.783126012349459,-0.9185401495264709,-1.6524967302563813,0.01267385651737624,-0.07387607742496548,2.1322089610431645,0.4687614292912951,-1.3574201626307532,3.663718807510984,0.5695287655391732,0.03469210754553339,0.11246024862677075,0.03151199768719283,0.23590633130962707,0.014165943914426134,0.0017346053772766695,lodo,0,8,train,qualifying_only
HPSI0214i-rayr_1,pool2,17.22840040539342,4.063780888208693,-0.6560789804813505,1.188442242996407,1.2392443318292694,-4.154849393463107,3.620148722366894,0.0750523986770644,1.353555363301524,-2.7006565175500192,0.8172888015717092,0.029469548133595286,0.047151277013752456,0.015717092337917484,0.08644400785854617,0.003929273084479371,0.0,lodo,0,8,train,qualifying_only
