gene,gene_index,PC,loading,abs_loading
RP11-33M22.2,2458,PC8,2.108426332181936e-06,2.108426332181936e-06
AC006946.17,31549,PC8,-1.99015912105857e-06,1.99015912105857e-06
AL589739.1,112,PC8,1.9515030891777875e-06,1.9515030891777875e-06
TFAP2D,10975,PC8,1.939706945418527e-06,1.939706945418527e-06
C12orf77,20425,PC8,-1.8578819431754113e-06,1.8578819431754113e-06
RP4-601K24.1,1276,PC8,-1.8427998495870694e-06,1.8427998495870694e-06
RP11-64C1.1,5999,PC8,1.800157316811952e-06,1.800157316811952e-06
RP11-34C15.2,16908,PC8,-1.7545025240885437e-06,1.7545025240885437e-06
RP11-118K6.2,16890,PC8,-1.714565460128365e-06,1.714565460128365e-06
RP11-523L20.2,25351,PC8,1.6984682978376552e-06,1.6984682978376552e-06
RP11-514D23.1,25923,PC8,-1.6928404088760116e-06,1.6928404088760116e-06
AC016885.1,15125,PC8,-1.5135479132140603e-06,1.5135479132140603e-06
BTBD9-AS1,10802,PC8,-1.5094424618829705e-06,1.5094424618829705e-06
LINC00691,5596,PC8,-1.506877723204234e-06,1.506877723204234e-06
RP11-240A16.1,7420,PC8,-1.4468395699340803e-06,1.4468395699340803e-06
APOH,27533,PC8,-1.426757930456471e-06,1.426757930456471e-06
RP11-451B8.1,6152,PC8,-1.4032993583658869e-06,1.4032993583658869e-06
AP002856.6,20019,PC8,-1.3971910916469635e-06,1.3971910916469635e-06
CTB-35F21.4,9617,PC8,1.3251876386878745e-06,1.3251876386878745e-06
CCT8L2,31539,PC8,-1.2494481226890885e-06,1.2494481226890885e-06
LINC00587,16325,PC8,1.2021669866741027e-06,1.2021669866741027e-06
RP5-897D18.1,29232,PC8,-1.189433829352622e-06,1.189433829352622e-06
RP11-299D14.2,14572,PC8,-1.1519448664828177e-06,1.1519448664828177e-06
RP11-136K7.3,9022,PC8,-1.0053337393184978e-06,1.0053337393184978e-06
CTC-493L21.1,9171,PC8,9.142744259945821e-07,9.142744259945821e-07
CTD-3012A18.1,18604,PC8,8.922004717973261e-07,8.922004717973261e-07
GPR116,10945,PC8,8.116222147314198e-07,8.116222147314198e-07
AP003068.12,19138,PC8,-7.638175158384462e-07,7.638175158384462e-07
RP11-546K22.2,14796,PC8,6.964187262386518e-07,6.964187262386518e-07
TSSK1B,9335,PC8,6.574301501505787e-07,6.574301501505787e-07
RP11-388K12.1,15124,PC8,-6.53636023582489e-07,6.53636023582489e-07
