gene,gene_index,PC,loading,abs_loading
SEC61G,12293,PC10,-0.05203751411948859,0.05203751411948859
ATF3,2794,PC10,0.05172990379073784,0.05172990379073784
SRSF7,3633,PC10,0.051540860782465,0.051540860782465
FAM84B,15399,PC10,0.051446292950545515,0.051446292950545515
TXNRD2,31601,PC10,0.051307281321546355,0.051307281321546355
TPM2,15892,PC10,0.05121991044748299,0.05121991044748299
HNRNPA2B1,12048,PC10,-0.051112078369623025,0.051112078369623025
PEG10,12542,PC10,0.05036873953354645,0.05036873953354645
EIF5,23403,PC10,0.050239201603008946,0.050239201603008946
H1F0,31966,PC10,-0.0501284182052411,0.0501284182052411
EDN1,10303,PC10,0.04996220654945554,0.04996220654945554
C1orf54,1829,PC10,-0.04992770870030811,0.04992770870030811
TFPI,4828,PC10,-0.04917975598666687,0.04917975598666687
ELF3,2624,PC10,-0.04916930530749447,0.04916930530749447
SLC25A5,13962,PC10,-0.04902966271472732,0.04902966271472732
HNRNPM,29740,PC10,-0.048710775030684675,0.048710775030684675
POMP,21880,PC10,-0.04850139338214452,0.04850139338214452
KIAA0101,24010,PC10,-0.048326555691356785,0.048326555691356785
H2AFV,12231,PC10,-0.04823173680998175,0.04823173680998175
TPM4,30026,PC10,0.04819769165735585,0.04819769165735585
CNN3,1386,PC10,0.04818009764080003,0.04818009764080003
IGDCC3,24032,PC10,0.04797594473730757,0.04797594473730757
CTSV,16268,PC10,-0.04774039855249225,0.04774039855249225
MEST,12918,PC10,0.04772798562611447,0.04772798562611447
HSPA8,19885,PC10,-0.047627765836030046,0.047627765836030046
NDRG1,15441,PC10,-0.04722788463382284,0.04722788463382284
PDLIM1,17716,PC10,0.046922504778344275,0.046922504778344275
WBP5,13863,PC10,-0.04667996925120112,0.04667996925120112
LGI1,17699,PC10,0.046549606546611985,0.046549606546611985
RNASEH2A,29917,PC10,-0.046437792886099935,0.046437792886099935
IL11,31253,PC10,0.046391262219478924,0.046391262219478924
HNRNPDL,7778,PC10,-0.04617877686740442,0.04617877686740442
ID3,490,PC10,0.045890910847478976,0.045890910847478976
QPRT,25162,PC10,-0.045542324200032486,0.045542324200032486
SOX3,14110,PC10,0.04532745920858442,0.04532745920858442
B2M,23794,PC10,-0.04521050285545345,0.04521050285545345
PEBP1,21512,PC10,-0.04482189401214078,0.04482189401214078
RHOB,3412,PC10,0.04472762717353296,0.04472762717353296
LYPD1,4469,PC10,0.04461490537165561,0.04461490537165561
HSPE1,4894,PC10,-0.04444612290000089,0.04444612290000089
NREP,9315,PC10,-0.04442490774625594,0.04442490774625594
SNRPE,2662,PC10,-0.044415478327170965,0.044415478327170965
TAGLN2,2170,PC10,0.0444123170202973,0.0444123170202973
TMSB15B,13878,PC10,-0.044032599733709626,0.044032599733709626
FAM122B,14059,PC10,-0.043899500177987105,0.043899500177987105
MYC,15411,PC10,0.043837260868778774,0.043837260868778774
RBBP7,13341,PC10,-0.04378926461139009,0.04378926461139009
HIST1H4C,10417,PC10,-0.043535584064992645,0.043535584064992645
CDT1,25986,PC10,-0.04318115872589993,0.04318115872589993
ERH,22980,PC10,-0.04316836711167428,0.04316836711167428
EFNA3,2025,PC10,-0.043085246517442485,0.043085246517442485
GADD45A,1186,PC10,0.04296293459952115,0.04296293459952115
ATP2B1,21195,PC10,-0.04291990602062739,0.04291990602062739
PHPT1,16804,PC10,-0.04288447551848563,0.04288447551848563
OAZ1,29505,PC10,-0.042715143141028075,0.042715143141028075
ENO2,20182,PC10,-0.04247747732440719,0.04247747732440719
NUCKS1,2697,PC10,-0.04215725084716189,0.04215725084716189
YWHAQ,3308,PC10,-0.042050659621690946,0.042050659621690946
EIF1AY,31493,PC10,0.042042226899524235,0.042042226899524235
TMED9,10075,PC10,-0.04197641619757588,0.04197641619757588
SLITRK6,22193,PC10,-0.0418245010292292,0.0418245010292292
STC2,9997,PC10,0.041801476141541595,0.041801476141541595
GREM1,23598,PC10,0.04150705704753143,0.04150705704753143
SEPP1,8824,PC10,-0.04149351233178098,0.04149351233178098
PHLDA2,18250,PC10,0.0414414485746863,0.0414414485746863
CENPV,26453,PC10,0.04126784476422734,0.04126784476422734
PAX3,5167,PC10,-0.04118666266509677,0.04118666266509677
SEPT11,7745,PC10,0.04047366087424373,0.04047366087424373
ATP5E,29270,PC10,-0.04043846554475529,0.04043846554475529
TMSB10,4027,PC10,-0.04042105496245742,0.04042105496245742
ADSS,3112,PC10,0.04037211752886925,0.04037211752886925
WFDC2,29095,PC10,-0.04035458849746504,0.04035458849746504
ATP6V0B,895,PC10,-0.04026190025185349,0.04026190025185349
TTYH1,31200,PC10,0.040146703883057806,0.040146703883057806
TMA7,5830,PC10,-0.040074458556358786,0.040074458556358786
OCIAD2,7531,PC10,0.04006380059297249,0.04006380059297249
UQCRB,15166,PC10,-0.039892723169761196,0.039892723169761196
CXCR4,4492,PC10,0.03974494966247632,0.03974494966247632
TYMS,27928,PC10,-0.039648152333083726,0.039648152333083726
STMN1,544,PC10,-0.03936988091973723,0.03936988091973723
VAMP8,4039,PC10,-0.03922977905316979,0.03922977905316979
PFN1,26185,PC10,-0.039043649144413384,0.039043649144413384
RPL10,14247,PC10,0.03904017315082939,0.03904017315082939
GSN,16477,PC10,-0.038855212779362776,0.038855212779362776
PLD3,30598,PC10,-0.03880859189980448,0.03880859189980448
PGK1,13771,PC10,-0.03879448378693494,0.03879448378693494
MAGED2,13638,PC10,-0.03877005311267412,0.03877005311267412
UCHL1,7479,PC10,-0.038647446025375634,0.038647446025375634
EIF4EBP1,14680,PC10,0.03831641210286087,0.03831641210286087
HMGB1,21898,PC10,-0.03825536023139455,0.03825536023139455
TPBG,11128,PC10,0.03782231405202123,0.03782231405202123
KRT18,20747,PC10,0.03776527754108384,0.03776527754108384
LMCD1,5450,PC10,0.037743277104917615,0.037743277104917615
CHAC1,23707,PC10,0.037721570184074786,0.037721570184074786
CAV1,12791,PC10,0.03766080082286437,0.03766080082286437
CSRP2,21120,PC10,-0.03759780894555156,0.03759780894555156
SERPINF1,26085,PC10,-0.03737675620726778,0.03737675620726778
SNCG,17618,PC10,-0.03723230673862333,0.03723230673862333
EIF3L,31970,PC10,0.037230597035847184,0.037230597035847184
SERPINE1,12663,PC10,0.03719298320106921,0.03719298320106921
TMEM256,26269,PC10,-0.03712909323253388,0.03712909323253388
ACTB,11887,PC10,0.03693211925317027,0.03693211925317027
IGFBP2,5071,PC10,-0.036925047147093985,0.036925047147093985
CLDN3,12395,PC10,-0.036786260653651016,0.036786260653651016
MORF4L2,13871,PC10,-0.03660566779088939,0.03660566779088939
RGS2,2543,PC10,-0.03647338106183337,0.03647338106183337
HNRNPK,16140,PC10,-0.03646718961114874,0.03646718961114874
MGST1,20365,PC10,-0.03636209108434694,0.03636209108434694
HNRNPA3,4756,PC10,-0.03613103900206464,0.03613103900206464
