model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
lasso,1,alpha=0.1,0.19573910851835688,0.0006350868151935046,0.22722099636871182,0.0009727833755393854,0.4189194219897979,0.004977614950897181,0.007246376811594203,0.0,donor_grouped,False,flat,,
lasso,1,alpha=1.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,1,alpha=10.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,2,alpha=0.001,0.15198865631556488,0.007625634413845557,0.18792042339604315,0.007228773917851166,0.6020227663277536,0.030616780183561107,0.053623188405797106,0.003742012894886391,donor_grouped,False,flat,,
lasso,2,alpha=0.01,0.15260547370789337,0.006800943937211388,0.1862040153488887,0.005976206169236672,0.6094174849106657,0.024849169327851806,0.04855072463768116,0.004890931577612703,donor_grouped,False,flat,,
lasso,2,alpha=0.1,0.18837940194993055,0.004677103982079178,0.21674064174994173,0.005309971582661836,0.47100992488545285,0.02541611376264568,0.007246376811594203,0.0,donor_grouped,False,flat,,
lasso,2,alpha=1.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,2,alpha=10.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,3,alpha=0.001,0.1326343664341202,0.0017230199480442099,0.16899767168674718,0.0014705303586350226,0.6785426854788422,0.005596128037328886,0.04927536231884058,0.0030553407344622043,donor_grouped,False,flat,,
lasso,3,alpha=0.01,0.13618825042113486,0.0020897168362961627,0.1696242715253341,0.0018753799841751385,0.676140946262181,0.007181178755521733,0.04492753623188406,0.003055340734462204,donor_grouped,False,flat,,
lasso,3,alpha=0.1,0.18230141110001646,0.002723465829615593,0.20788491232028772,0.0025294300083586775,0.5135523834456471,0.011691880406800984,0.007246376811594203,0.0,donor_grouped,False,flat,,
lasso,3,alpha=1.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,3,alpha=10.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,4,alpha=0.001,0.13361259865027236,0.0008172175923135623,0.16802807967526306,0.0014011758384150045,0.6822224713801184,0.00532203324499848,0.050724637681159424,0.0,donor_grouped,False,flat,,
lasso,4,alpha=0.01,0.13611045659495963,0.0015422050755862459,0.1688626147626309,0.001928948257895791,0.6790404545200944,0.00733944861132541,0.050724637681159424,0.0,donor_grouped,False,flat,,
