cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI1014i-qayj_4,1.0,0.8261930585683297,0.0036026182601097893
HPSI1014i-quls_2,1.0,0.014737724383599916,0.0010070826869837265
HPSI1014i-roug_3,1.0,0.8645752978486329,0.0031678948442053437
HPSI1014i-sehl_6,1.0,0.8650885296381832,0.004739364852030282
HPSI1014i-tixi_4,1.0,0.3397790055248619,0.017602471610786947
HPSI1014i-tuju_1,1.0,0.016209476309226933,0.003153070109289433
HPSI1014i-vils_1,1.0,0.3039325842696629,0.010901952419945559
HPSI1113i-hayt_3,1.0,0.25108738631870303,0.006097314662649687
HPSI1113i-ieki_3,1.0,0.5583941605839416,0.02999939914299117
HPSI1113i-podx_1,1.0,0.5855929882224048,0.008152777030765801
HPSI1113i-qolg_1,1.0,0.6551724137931034,0.036033311695020075
HPSI1113i-vuud_2,1.0,0.5054089138900909,0.010400270102060594
HPSI1114i-kuul_1,2.0,0.5825396238998493,0.008996391430973874
HPSI1114i-ualf_6,1.0,0.575,0.02763461371179268
HPSI1213i-hehd_1,2.0,0.7806394036281958,0.01129805511500229
