model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
ridge,2,alpha=100.0,0.119732035015113,0.002546875895069,0.153740999617947,0.002731348280711,0.3470782800686836,0.0232198484778677,0.0080882352941176,0.0023252041618885,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,3,alpha=0.01,0.1026966735956408,0.001057522755499,0.1342533639629621,0.0011012932602268,0.5022227791435278,0.0081906724809883,0.0713235294117647,0.0138864857590346,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,3,alpha=0.1,0.1026532064415731,0.001037008274617,0.1342067455290347,0.0010810586956303,0.5025694942477169,0.008035623313359,0.0713235294117647,0.0138864857590346,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,3,alpha=1.0,0.1022911552310757,0.0008919867540552,0.1338441748487069,0.0009376156894646,0.5052606036403684,0.0069371786956712,0.0639705882352941,0.010427474208913,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,3,alpha=10.0,0.101066720601548,0.0008248736679807,0.1328974964540321,0.0006925454045736,0.5122440473597268,0.0050711132195604,0.0448529411764705,0.0112050288731984,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,3,alpha=100.0,0.1081715273619919,0.0008417568548116,0.1399962313396356,0.000859956380453,0.4587401629457197,0.0066458699673605,0.0080882352941176,0.0023252041618885,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,4,alpha=0.01,0.1005280954889934,0.0010147448211633,0.131719865198435,0.001324918025769,0.5208180350339294,0.0096210329450575,0.0742647058823529,0.0122303675979163,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,4,alpha=0.1,0.1004734186976219,0.0009984676860354,0.1316579166899342,0.0013125703907261,0.5212694207674654,0.0095238047733706,0.0742647058823529,0.0122303675979163,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,4,alpha=1.0,0.1000531523610749,0.0008854884374069,0.1312139905728092,0.0012277772238194,0.524497425191741,0.0088585303970959,0.075,0.0124010888634054,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,4,alpha=10.0,0.0988474058595364,0.0006978052412675,0.1304164828397741,0.0009764934944856,0.5302733025639041,0.006994917678273,0.0566176470588235,0.014312550314369,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,4,alpha=100.0,0.1081257710059427,0.000937251266798,0.1400710893417752,0.0010123277032927,0.4581540984990405,0.0078290626428954,0.0080882352941176,0.0023252041618885,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,5,alpha=0.01,0.1001529178222591,0.0013372068335089,0.1320486257990609,0.0012471859426268,0.5184282495132393,0.0090993108424677,0.0720588235294117,0.0128763975848663,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,5,alpha=0.1,0.100078716885412,0.0013127901496671,0.1319594722745324,0.0012270809977219,0.5190794870461551,0.0089437816401664,0.0705882352941176,0.0135137732863629,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,5,alpha=1.0,0.0995360349156922,0.0011230089968333,0.1313247304676615,0.0010995377616768,0.5237019534282318,0.0079564256466817,0.0691176470588235,0.0125933652732011,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,5,alpha=10.0,0.0982248946879054,0.000651717829564,0.1301297686050156,0.0008753819443233,0.5323409242247695,0.0062573255500197,0.0544117647058823,0.0110701860692511,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,5,alpha=100.0,0.1074489953033401,0.0008673277433299,0.139017442507893,0.0008696481145014,0.4662815089188751,0.0066756349207618,0.0080882352941176,0.0023252041618885,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,6,alpha=0.01,0.0993430793613637,0.0012645076619834,0.1312754724974018,0.0011988418649857,0.5240534959312568,0.0087270480799271,0.0669117647058823,0.0131761569173682,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,6,alpha=0.1,0.0992281537463149,0.0012278272931822,0.1311758677580762,0.0011518968225513,0.5247781555602669,0.008378917577891,0.0654411764705882,0.012712061254794,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,6,alpha=1.0,0.098649953349757,0.0010222538676616,0.1307078862772869,0.0008921932715862,0.5281758579800796,0.0064625831239724,0.0683823529411764,0.0159030668603022,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,6,alpha=10.0,0.0983949609479299,0.0006785850283649,0.1303944138905522,0.0006860531844257,0.5304442558662948,0.0049327562976522,0.0544117647058823,0.0125933652732011,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,6,alpha=100.0,0.1080362041436071,0.000632506070358,0.1393720105421463,0.0007775524885215,0.463559374272895,0.0059887335539167,0.0080882352941176,0.0023252041618885,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=0.01,0.1001580411086898,0.0017087825882994,0.132728890123721,0.0013738848164122,0.5134458653720695,0.0100845671279087,0.0683823529411764,0.0138864857590346,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=0.1,0.0998856313854552,0.001639109585606,0.1325783268574251,0.0013014118915329,0.5145538136725255,0.009539590563348,0.0683823529411764,0.0134469281611227,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=1.0,0.0987210040699047,0.0012913842356197,0.1318962756846308,0.0010241119149071,0.5195513317856915,0.0074687437647725,0.0647058823529411,0.0142072321041072,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=10.0,0.0978950160183352,0.0007717692365051,0.130779158318808,0.0007608948916881,0.5276665838628755,0.0054889093219398,0.0492647058823529,0.0138864857590346,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
