cell_line,da_over_all,sert_over_all,da_sert_over_all,n_cells
HPSI0514i-oekw_2,0.10533159947984395,0.17815344603381014,0.2834850455136541,769.0
HPSI0514i-oupf_6,0.4645669291338583,0.15354330708661418,0.6181102362204725,254.0
HPSI0514i-qihv_1,0.03288201160541586,0.17794970986460348,0.21083172147001933,517.0
HPSI0514i-rutc_2,0.46078431372549017,0.434640522875817,0.8954248366013072,612.0
HPSI0514i-sohd_2,0.4376321353065539,0.26004228329809725,0.6976744186046512,473.0
HPSI0514i-suul_1,0.012345679012345678,0.6790123456790124,0.691358024691358,81.0
HPSI0514i-tert_1,0.08678102926337034,0.7043390514631686,0.7911200807265388,991.0
HPSI0514i-uenn_3,0.11695741551277117,0.23075224737371294,0.34770966288648414,1170.5
HPSI0514i-wiii_3,0.023558896304713795,0.00646577902153472,0.030024675326248515,3734.0
HPSI0514i-yewo_4,0.07065750736015702,0.7801766437684003,0.8508341511285574,1019.0
HPSI0613i-aevs_1,0.12434417628541448,0.002098635886673662,0.12644281217208814,1906.0
HPSI0613i-bawa_1,0.2797761790567546,0.6019184652278178,0.8816946442845723,1251.0
HPSI0613i-bohf_1,0.5226537216828478,0.03802588996763754,0.5606796116504854,1236.0
HPSI0613i-eojr_2,0.6739130434782609,0.13043478260869565,0.8043478260869565,46.0
HPSI0613i-hegp_3,0.3148148148148148,0.43703703703703706,0.7518518518518519,270.0
HPSI0613i-hikj_2,0.25806451612903225,0.6592741935483871,0.9173387096774194,496.0
HPSI0613i-lizq_3,0.49851632047477745,0.05934718100890208,0.5578635014836796,337.0
HPSI0614i-juzt_4,0.10480693459416864,0.01182033096926714,0.11662726556343578,1269.0
HPSI0614i-liqa_1,0.21082474226804124,0.40103092783505156,0.6118556701030928,1940.0
HPSI0614i-lirf_5,0.09090909090909091,0.0022172949002217295,0.09312638580931264,451.0
HPSI0614i-miaj_4,0.03806584362139918,0.012345679012345678,0.050411522633744855,972.0
HPSI0614i-oicx_2,0.4177215189873418,0.06329113924050633,0.4810126582278481,79.0
HPSI0614i-puhk_2,0.047658862876254184,0.0016722408026755853,0.04933110367892977,1196.0
HPSI0614i-qunz_2,0.18269230769230768,0.2916666666666667,0.47435897435897434,312.0
HPSI0614i-uevq_6,0.03318221279058551,0.025465419118356324,0.05864763190894184,10367.0
HPSI0614i-voce_1,0.050243111831442464,0.10696920583468396,0.15721231766612642,617.0
HPSI0614i-wihj_4,0.6595622119815668,0.0956221198156682,0.755184331797235,1736.0
HPSI0714i-burb_1,0.10006287231821648,0.013138048838116322,0.11320092115633279,1209.5
HPSI0714i-iudw_1,0.26895306859205775,0.12003610108303249,0.38898916967509023,1108.0
