cell_line,celltype,n_pools,phat,se
HPSI0514i-naah_2,NB,1.0,0.0,0.0
HPSI0514i-naah_2,P_FPP,1.0,0.32978723404255317,0.04849079911684885
HPSI0514i-oekw_2,FPP,1.0,0.499546690843155,0.01505504540418991
HPSI0514i-oekw_2,NB,1.0,0.043517679057116954,0.006143043347182731
HPSI0514i-oekw_2,P_FPP,1.0,0.45693563009972804,0.014999107257963567
HPSI0514i-oupf_6,FPP,1.0,0.47703375760929717,0.011749849619554864
HPSI0514i-oupf_6,NB,1.0,0.0005534034311012728,0.0005532502822312858
HPSI0514i-oupf_6,P_FPP,1.0,0.5224128389596016,0.011750440998913104
HPSI0514i-qihv_1,FPP,1.0,0.5074626865671642,0.0124674777994529
HPSI0514i-qihv_1,NB,1.0,0.04477611940298507,0.0051574234363066275
HPSI0514i-qihv_1,P_FPP,1.0,0.44776119402985076,0.012400627570752845
HPSI0514i-rutc_2,FPP,1.0,0.6414342629482072,0.030270779913818314
HPSI0514i-rutc_2,NB,1.0,0.0,0.0
HPSI0514i-rutc_2,P_FPP,1.0,0.35856573705179284,0.030270779913818314
HPSI0514i-sohd_2,FPP,1.0,0.6554621848739496,0.0435631010573504
HPSI0514i-sohd_2,NB,1.0,0.0,0.0
HPSI0514i-sohd_2,P_FPP,1.0,0.3445378151260504,0.0435631010573504
HPSI0514i-suul_1,FPP,1.0,0.6098901098901099,0.016169574051228913
HPSI0514i-suul_1,NB,1.0,0.001098901098901099,0.0010982971411204405
HPSI0514i-suul_1,P_FPP,1.0,0.389010989010989,0.016161324048129866
HPSI0514i-tert_1,FPP,1.0,0.5364238410596026,0.010478050300634822
HPSI0514i-tert_1,NB,1.0,0.003532008830022075,0.001246546442181401
HPSI0514i-tert_1,P_FPP,1.0,0.46004415011037525,0.010472365191177882
HPSI0514i-uenn_3,FPP,2.0,0.5896464646464646,0.01793048658958594
HPSI0514i-uenn_3,NB,2.0,0.09308666373883766,0.009912402252273288
HPSI0514i-uenn_3,P_FPP,2.0,0.3172668716146977,0.01709305476075018
HPSI0514i-wiii_3,FPP,2.0,0.4631726581530966,0.02174412745844165
HPSI0514i-wiii_3,NB,2.0,0.18191850594227504,0.017896603048908884
HPSI0514i-wiii_3,P_FPP,2.0,0.3549088359046283,0.020148427817416735
HPSI0514i-yewo_4,FPP,1.0,0.7261904761904762,0.03440288855542075
HPSI0514i-yewo_4,NB,1.0,0.005952380952380952,0.0059346390918962886
HPSI0514i-yewo_4,P_FPP,1.0,0.26785714285714285,0.03416605927545631
HPSI0613i-aevs_1,FPP,1.0,0.2767940354147251,0.013658704279135047
HPSI0613i-aevs_1,NB,1.0,0.1724137931034483,0.011531684826619003
HPSI0613i-aevs_1,P_FPP,1.0,0.5507921714818267,0.015185100711304213
HPSI0613i-bawa_1,FPP,1.0,0.253028263795424,0.01594932087881551
HPSI0613i-bawa_1,NB,1.0,0.0013458950201884253,0.001344988998530588
HPSI0613i-bawa_1,P_FPP,1.0,0.7456258411843876,0.01597726961037167
HPSI0613i-bohf_1,FPP,1.0,0.37245392822502427,0.015056698519117956
HPSI0613i-bohf_1,NB,1.0,0.002909796314258002,0.0016775257170011798
HPSI0613i-bohf_1,P_FPP,1.0,0.6246362754607178,0.015080315174448392
HPSI0613i-eojr_2,FPP,1.0,0.368,0.043134765560971816
HPSI0613i-eojr_2,NB,1.0,0.0,0.0
HPSI0613i-eojr_2,P_FPP,1.0,0.632,0.043134765560971816
HPSI0613i-hegp_3,FPP,1.0,0.3261802575107296,0.030713035434218078
HPSI0613i-hegp_3,NB,1.0,0.008583690987124463,0.0060434802369235836
HPSI0613i-hegp_3,P_FPP,1.0,0.6652360515021459,0.030915713137745434
HPSI0613i-hikj_2,FPP,1.0,0.34,0.027349588662354686
HPSI0613i-hikj_2,NB,1.0,0.013333333333333334,0.006622073078111707
HPSI0613i-hikj_2,P_FPP,1.0,0.6466666666666666,0.02759763811686844
HPSI0613i-lizq_3,FPP,1.0,0.3287435456110155,0.019488786079182224
HPSI0613i-lizq_3,NB,1.0,0.0034423407917383822,0.002429909400155428
HPSI0613i-lizq_3,P_FPP,1.0,0.6678141135972461,0.019540259128569746
HPSI0614i-juzt_4,FPP,1.0,0.5927835051546392,0.035274419133594095
HPSI0614i-juzt_4,NB,1.0,0.09278350515463918,0.020830034610769783
HPSI0614i-juzt_4,P_FPP,1.0,0.31443298969072164,0.03333405464996088
HPSI0614i-liqa_1,FPP,1.0,0.6385579937304076,0.008505975815182249
HPSI0614i-liqa_1,NB,1.0,0.0025078369905956114,0.000885541780967059
HPSI0614i-liqa_1,P_FPP,1.0,0.35893416927899685,0.008493044017197504
HPSI0614i-lirf_5,FPP,1.0,0.5536892621475705,0.012175419077472745
HPSI0614i-lirf_5,NB,1.0,0.1235752849430114,0.008060376318961684
HPSI0614i-lirf_5,P_FPP,1.0,0.32273545290941813,0.011450770462201524
HPSI0614i-miaj_4,FPP,1.0,0.5561959654178674,0.008890445991613486
HPSI0614i-miaj_4,NB,1.0,0.0845341018251681,0.004977956128314867
HPSI0614i-miaj_4,P_FPP,1.0,0.35926993275696445,0.008585428909083138
HPSI0614i-oicx_2,FPP,1.0,0.53125,0.04410777261967271
HPSI0614i-oicx_2,NB,1.0,0.0,0.0
HPSI0614i-oicx_2,P_FPP,1.0,0.46875,0.04410777261967271
HPSI0614i-puhk_2,FPP,1.0,0.48785166240409206,0.00893734259592861
HPSI0614i-puhk_2,NB,1.0,0.1460997442455243,0.006315313690790093
HPSI0614i-puhk_2,P_FPP,1.0,0.36604859335038364,0.008613189134352441
HPSI0614i-qunz_2,FPP,1.0,0.5113636363636364,0.02664320588437407
HPSI0614i-qunz_2,NB,1.0,0.002840909090909091,0.0028368708385608492
HPSI0614i-qunz_2,P_FPP,1.0,0.48579545454545453,0.02663933304390236
HPSI0614i-uevq_6,FPP,1.0,0.5681274900398406,0.013982306551306842
HPSI0614i-uevq_6,NB,1.0,0.14422310756972112,0.009916897841509073
HPSI0614i-uevq_6,P_FPP,1.0,0.28764940239043824,0.012777820166330299
HPSI0614i-voce_1,FPP,1.0,0.5650205761316872,0.010056881939930743
HPSI0614i-voce_1,NB,1.0,0.03827160493827161,0.003891897735161463
HPSI0614i-voce_1,P_FPP,1.0,0.39670781893004115,0.0099242133403001
HPSI0614i-wihj_4,FPP,1.0,0.6376021798365122,0.025091963828791787
HPSI0614i-wihj_4,NB,1.0,0.008174386920980926,0.004700155461353493
HPSI0614i-wihj_4,P_FPP,1.0,0.3542234332425068,0.024965872760275853
HPSI0714i-burb_1,FPP,2.0,0.5712388777267509,0.010437124313623633
HPSI0714i-burb_1,NB,2.0,0.04943922215843857,0.004698275825705672
HPSI0714i-burb_1,P_FPP,2.0,0.3793219001148106,0.010182186130664564
HPSI0714i-iudw_1,FPP,1.0,0.5746212121212121,0.009622253144080816
HPSI0714i-iudw_1,NB,1.0,0.00946969696969697,0.0018849505468353286
HPSI0714i-iudw_1,P_FPP,1.0,0.4159090909090909,0.009592624988489706
HPSI0714i-keui_4,FPP,1.0,0.5054945054945055,0.026205538505769968
HPSI0714i-keui_4,NB,1.0,0.19505494505494506,0.020768776323066687
HPSI0714i-keui_4,P_FPP,1.0,0.29945054945054944,0.024006633577537188
HPSI0714i-kute_5,FPP,1.0,0.4166666666666667,0.06364688465216445
HPSI0714i-kute_5,NB,1.0,0.03333333333333333,0.023174059571793568
HPSI0714i-kute_5,P_FPP,1.0,0.55,0.06422616289332565
HPSI0714i-oatm_1,FPP,1.0,0.48307692307692307,0.013859559585284188
HPSI0714i-oatm_1,NB,1.0,0.08384615384615385,0.007686950797460937
HPSI0714i-oatm_1,P_FPP,1.0,0.4330769230769231,0.01374272679736583
HPSI0714i-pipw_4,FPP,1.0,0.5686700458604875,0.007694448892606053
HPSI0714i-pipw_4,NB,1.0,0.002172338884866039,0.000723326024644428
HPSI0714i-pipw_4,P_FPP,1.0,0.4291576152546464,0.00768969387371773
HPSI0715i-aowh_2,FPP,1.0,0.5198412698412699,0.011127113764125209
HPSI0715i-aowh_2,NB,1.0,0.00992063492063492,0.0022072904010093674
HPSI0715i-aowh_2,P_FPP,1.0,0.47023809523809523,0.011116139886875969
HPSI0715i-meue_5,FPP,2.0,0.6248213702433447,0.010432949838163421
HPSI0715i-meue_5,NB,2.0,0.011878878817573085,0.0021914301770791624
HPSI0715i-meue_5,P_FPP,2.0,0.3632997509390822,0.010374792411311305
HPSI0715i-zaie_5,FPP,1.0,0.47223955084217095,0.01246903482066872
HPSI0715i-zaie_5,NB,1.0,0.0012476606363069245,0.0008816787633961643
HPSI0715i-zaie_5,P_FPP,1.0,0.5265127885215222,0.012470728598139016
HPSI0814i-bokz_6,FPP,1.0,0.5255972696245734,0.029172008404650153
HPSI0814i-bokz_6,NB,1.0,0.0,0.0
HPSI0814i-bokz_6,P_FPP,1.0,0.47440273037542663,0.029172008404650153
HPSI0814i-siqu_4,FPP,1.0,0.6446991404011462,0.02561910544501462
HPSI0814i-siqu_4,NB,1.0,0.008595988538681949,0.004941519759651688
HPSI0814i-siqu_4,P_FPP,1.0,0.3467048710601719,0.025475456104541987
HPSI0913i-eika_2,FPP,1.0,0.5659340659340659,0.036738809236522556
HPSI0913i-eika_2,NB,1.0,0.0,0.0
HPSI0913i-eika_2,P_FPP,1.0,0.4340659340659341,0.036738809236522556
HPSI0914i-iezw_2,FPP,1.0,0.6369168356997972,0.02165813022098813
HPSI0914i-iezw_2,NB,1.0,0.008113590263691683,0.004040304026458436
HPSI0914i-iezw_2,P_FPP,1.0,0.35496957403651114,0.02155074089570593
HPSI0914i-jejf_2,FPP,1.0,0.5791190864600326,0.00997018741525565
HPSI0914i-jejf_2,NB,1.0,0.004078303425774877,0.0012870402562088084
HPSI0914i-jejf_2,P_FPP,1.0,0.4168026101141925,0.009956639154910078
HPSI0914i-kajh_2,FPP,1.0,0.5296610169491526,0.022973834788767248
HPSI0914i-kajh_2,NB,1.0,0.00211864406779661,0.002116398551460512
HPSI0914i-kajh_2,P_FPP,1.0,0.4682203389830508,0.02296783183144176
HPSI0914i-laey_6,FPP,2.0,0.5538580603937381,0.02099090548639714
HPSI0914i-laey_6,NB,2.0,0.0013054830287206266,0.000752736364991215
HPSI0914i-laey_6,P_FPP,2.0,0.4448364565775413,0.020990010404321448
HPSI0914i-ouvb_2,FPP,2.0,0.5097368034769512,0.008493890072552796
HPSI0914i-ouvb_2,NB,2.0,0.0012575866844513656,0.0005732548072983505
HPSI0914i-ouvb_2,P_FPP,2.0,0.4890056098385975,0.008493226747734913
HPSI0914i-rejf_2,FPP,1.0,0.44798785117691725,0.013702965011075704
HPSI0914i-rejf_2,NB,1.0,0.19134396355353075,0.010839179585953432
HPSI0914i-rejf_2,P_FPP,1.0,0.360668185269552,0.013231960267332438
HPSI0914i-suop_5,FPP,1.0,0.5841463414634146,0.012170520992574
HPSI0914i-suop_5,NB,1.0,0.003658536585365854,0.0014908566238296369
HPSI0914i-suop_5,P_FPP,1.0,0.4121951219512195,0.012154751740470173
HPSI0914i-vaka_5,FPP,1.0,0.554559043348281,0.013587542401475649
HPSI0914i-vaka_5,NB,1.0,0.008221225710014948,0.0024685824314991146
HPSI0914i-vaka_5,P_FPP,1.0,0.437219730941704,0.01356098548105796
HPSI0914i-yuvg_2,FPP,1.0,0.676056338028169,0.0555388667156425
HPSI0914i-yuvg_2,NB,1.0,0.0,0.0
HPSI0914i-yuvg_2,P_FPP,1.0,0.323943661971831,0.0555388667156425
HPSI0914i-zerv_7,FPP,2.0,0.5417707150964812,0.02034016680401972
HPSI0914i-zerv_7,NB,2.0,0.013679260580509162,0.005190302488519705
HPSI0914i-zerv_7,P_FPP,2.0,0.4445500243230096,0.0202106509118971
HPSI1013i-garx_2,FPP,1.0,0.5094869992972593,0.013252242198657251
HPSI1013i-garx_2,NB,1.0,0.0014054813773717498,0.0009931267656457718
HPSI1013i-garx_2,P_FPP,1.0,0.48910751932536894,0.013251482736081847
HPSI1013i-hiaf_1,FPP,2.0,0.5445480209374816,0.00867045845934168
HPSI1013i-hiaf_1,NB,2.0,0.0336367111686173,0.0036546944265958316
HPSI1013i-hiaf_1,P_FPP,2.0,0.4218152678939011,0.00851162885922078
HPSI1013i-jogf_2,FPP,1.0,0.4714738510301109,0.014051813189140191
HPSI1013i-jogf_2,NB,1.0,0.13232963549920762,0.009538416073689247
HPSI1013i-jogf_2,P_FPP,1.0,0.39619651347068147,0.013768082366970165
HPSI1013i-sita_1,FPP,1.0,0.4772628843655262,0.010394617980848979
HPSI1013i-sita_1,NB,1.0,0.07145950627977479,0.005360662472151327
HPSI1013i-sita_1,P_FPP,1.0,0.451277609354699,0.010355862311457298
HPSI1013i-woci_1,FPP,1.0,0.5671124318969787,0.011026913841514718
HPSI1013i-woci_1,NB,1.0,0.004952947003467063,0.0015623757514855602
HPSI1013i-woci_1,P_FPP,1.0,0.4279346210995542,0.011011421445957506
HPSI1013i-wopl_2,FPP,1.0,0.48544973544973546,0.012853166744867736
HPSI1013i-wopl_2,NB,1.0,0.14417989417989419,0.00903374231393369
